game_id              ,date       ,opponent              ,is_home_game ,game_won ,goals_for ,goals_against ,goal_differential
hockey_washington_1  ,2021-11-26 ,Florida Panthers      ,True         ,True     ,4         ,3             ,1
hockey_washington_2  ,2021-11-24 ,Montreal Canadiens    ,True         ,True     ,6         ,3             ,3
hockey_washington_3  ,2021-11-21 ,Seattle Kraken        ,False        ,False    ,2         ,5             ,-3
hockey_washington_4  ,2021-11-20 ,San Jose Sharks       ,False        ,True     ,4         ,0             ,4
hockey_washington_5  ,2021-11-17 ,Los Angeles Kings     ,False        ,True     ,2         ,0             ,2
hockey_washington_6  ,2021-11-16 ,Anaheim Ducks         ,False        ,False    ,2         ,3             ,-1
hockey_washington_7  ,2021-11-14 ,Pittsburgh Penguins   ,True         ,True     ,6         ,1             ,5
hockey_washington_8  ,2021-11-12 ,Columbus Blue Jackets ,False        ,True     ,4         ,3             ,1
hockey_washington_9  ,2021-11-11 ,Detroit Red Wings     ,False        ,True     ,2         ,0             ,2
hockey_washington_10 ,2021-11-08 ,Buffalo Sabres        ,True         ,True     ,5         ,3             ,2
hockey_washington_11 ,2021-11-06 ,Philadelphia Flyers   ,True         ,False    ,1         ,2             ,-1
hockey_washington_12 ,2021-11-04 ,Florida Panthers      ,False        ,False    ,4         ,5             ,-1
hockey_washington_13 ,2021-11-01 ,Tampa Bay Lightning   ,False        ,False    ,2         ,3             ,-1
hockey_washington_14 ,2021-10-29 ,Arizona Coyotes       ,True         ,True     ,2         ,0             ,2
hockey_washington_15 ,2021-10-27 ,Detroit Red Wings     ,True         ,False    ,2         ,3             ,-1
hockey_washington_16 ,2021-10-25 ,Ottawa Senators       ,False        ,True     ,7         ,5             ,2
hockey_washington_17 ,2021-10-23 ,Calgary Flames        ,True         ,False    ,3         ,4             ,-1
hockey_washington_18 ,2021-10-21 ,New Jersey Devils     ,False        ,True     ,4         ,1             ,3
hockey_washington_19 ,2021-10-19 ,Colorado Avalanche    ,True         ,True     ,6         ,3             ,3
hockey_washington_20 ,2021-10-16 ,Tampa Bay Lightning   ,True         ,False    ,1         ,2             ,-1
hockey_washington_21 ,2021-10-13 ,New York Rangers      ,True         ,True     ,5         ,1             ,4